id,avg_daily_steps,sd_daily_steps,avg_hourly_steps,avg_intensity,active_hours_per_day,evening_activity_ratio,avg_sleep_hours,nights_tracked,activity_segment,routine_segment
1503960366,11640.526315789473,3329.6256440964294,547.7123655913979,0.2873655994623656,24,0.16666666666666666,5.934666666666667,25,High Engagement,All-Day Wear
1624580081,4226.263157894737,4413.85823719019,190.9615894039735,0.09454745695364239,23.59375,0.16423841059602648,NA,NA,Low Engagement,All-Day Wear
1644430081,9274.8,5658.118430872385,334.7942857142857,0.2471905,23.333333333333332,0.1657142857142857,5.970833333333333,4,Moderate Engagement,All-Day Wear
1844505072,3640.5833333333335,2867.9091673942958,69.60852197070572,0.05186417443408788,23.46875,0.16511318242343542,5.991666666666666,4,Low Engagement,All-Day Wear
1927972279,2180.8333333333335,1625.7939505659904,227.33245033112584,0.15035320794701987,23.59375,0.16423841059602648,5.908064516129032,31,Low Engagement,All-Day Wear
2022484408,12174.916666666666,3851.216560052712,530.93642384105965,0.30874172582781456,23.59375,0.16423841059602648,2.25,1,High Engagement,All-Day Wear
2026352035,3392.75,1698.0916628540833,187.94827586206895,0.14739171352785146,23.5625,0.16445623342175067,8.226767676767677,33,Low Engagement,All-Day Wear
2320127002,3138.4166666666665,3431.623773040537,72.29668874172185,0.05114789933774835,23.59375,0.16423841059602648,NA,NA,Low Engagement,All-Day Wear
2347167796,9800.066666666668,3660.7108104977697,434.1664447403462,0.24951175233022638,23.46875,0.16511318242343542,6.582258064516129,31,Moderate Engagement,All-Day Wear
2873212765,6636.583333333333,4008.8663656798026,350.92972972972973,0.24313064324324324,23.870967741935484,0.16486486486486487,NA,NA,Moderate Engagement,All-Day Wear
2891001357,773.625,1534.9211182616891,30,0.16666666666666666,12,0,NA,NA,Low Engagement,All-Day Wear
3372868164,6127.5,1440.5214526537102,264.58368495077355,0.23373182981715893,23.7,0.1631504922644163,NA,NA,Moderate Engagement,All-Day Wear
3977333714,8663.916666666666,4796.252049225204,238.49665327978582,0.13627846184738956,23.34375,0.16599732262382866,4.582291666666666,16,Moderate Engagement,All-Day Wear
4020332650,5776.59375,2792.676215127762,155.80774365821094,0.11241656208277703,23.40625,0.16555407209612816,6.073333333333333,15,Moderate Engagement,All-Day Wear
4057192912,1887.21875,2815.607832553012,80.48933333333333,0.040888888,23.4375,0.16533333333333333,NA,NA,Low Engagement,All-Day Wear
4319703577,7820.583333333333,2840.8109424257823,331.39493293591653,0.22019376005961253,23.964285714285715,0.16691505216095381,7.295833333333333,28,Moderate Engagement,All-Day Wear
4388161847,0,0,NA,NA,NA,NA,NA,NA,Low Engagement,Routine-Based
4445114986,4293.066666666667,1939.7439251710766,200.3846153846154,0.1643899297082228,23.5625,0.16445623342175067,5.73974358974359,26,Low Engagement,All-Day Wear
4558609924,5785.25,2163.4804923800657,191.29310344827587,0.15053050530503978,23.5625,0.16445623342175067,2.6916666666666664,4,Moderate Engagement,All-Day Wear
4702921684,7943.4,3191.437669765775,334.1657681940701,0.20395329649595687,23.93548387096774,0.16711590296495957,6.8805555555555555,30,Moderate Engagement,All-Day Wear
5553957443,8354.75,4553.592330637029,290.43617021276594,0.17222961835106382,23.5,0.16489361702127658,7.298333333333334,30,Moderate Engagement,All-Day Wear
5577150313,8608.181818181818,3534.5908622691204,396,0.34529681369863013,23.548387096774192,0.1643835616438356,6.8328125,32,Moderate Engagement,All-Day Wear
6117666160,8248.6,5826.192204175897,329.36258992805756,0.22827339568345323,23.96551724137931,0.1669064748201439,7.546913580246914,27,Moderate Engagement,All-Day Wear
6290855005,1618.1,3479.759201439088,220.57581573896354,0.15889315547024951,23.681818181818183,0.16122840690978887,NA,NA,Low Engagement,All-Day Wear
6391747486,1336.888888888889,3235.172616895598,17.825185185185184,0.011333331851851852,23.275862068965516,0.16592592592592592,NA,NA,Low Engagement,All-Day Wear
6775888955,5559,5231.217831442312,209.2683284457478,0.17299609677419356,23.517241379310345,0.16422287390029325,4.796078431372549,17,Moderate Engagement,All-Day Wear
6962181067,12639.714285714286,2921.019722593502,589.5901856763926,0.3066092095490716,23.5625,0.16445623342175067,7.221212121212121,33,High Engagement,All-Day Wear
7007744171,12260.333333333334,2494.477075217946,464.7659574468085,0.2940824587765957,23.5,0.16489361702127658,1.0916666666666668,8,High Engagement,All-Day Wear
7086361926,6103.916666666667,4619.285510637752,263.5066489361702,0.15274823670212767,23.5,0.16489361702127658,6.421794871794872,26,Moderate Engagement,All-Day Wear
8053475328,14844.363636363636,6519.272724357023,619.3872679045093,0.30492926392572944,23.5625,0.16445623342175067,8.3,1,High Engagement,All-Day Wear
8253242879,2389.9166666666665,3624.8999850361597,38.36891891891892,0.023085582432432434,23.870967741935484,0.16486486486486487,NA,NA,Low Engagement,All-Day Wear
8378563200,8135.25,4361.089170150044,335.3740053050398,0.23037137135278515,23.5625,0.16445623342175067,7.097474747474748,33,Moderate Engagement,All-Day Wear
8583815059,3045.5,1665.1289096386158,90.96246246246247,0.0671921966966967,23.785714285714285,0.16216216216216217,NA,NA,Low Engagement,All-Day Wear
8792009665,3094.9166666666665,2707.020685629174,65.9973474801061,0.054266148541114057,23.5625,0.16445623342175067,7.256944444444445,12,Low Engagement,All-Day Wear
8877689391,17417.083333333332,7871.54387604009,709.4249667994688,0.3203851128818061,23.53125,0.1646746347941567,NA,NA,High Engagement,All-Day Wear
