id,date,value,log_id,date_time
1503960366,3/13/2016 2:39:30 AM,1,11114919637,2016-03-13T02:39:30Z
1503960366,3/13/2016 2:40:30 AM,1,11114919637,2016-03-13T02:40:30Z
1503960366,3/13/2016 2:41:30 AM,1,11114919637,2016-03-13T02:41:30Z
1503960366,3/13/2016 2:42:30 AM,1,11114919637,2016-03-13T02:42:30Z
1503960366,3/13/2016 2:43:30 AM,1,11114919637,2016-03-13T02:43:30Z
1503960366,3/13/2016 2:44:30 AM,1,11114919637,2016-03-13T02:44:30Z
1503960366,3/13/2016 2:45:30 AM,2,11114919637,2016-03-13T02:45:30Z
1503960366,3/13/2016 2:46:30 AM,2,11114919637,2016-03-13T02:46:30Z
1503960366,3/13/2016 2:47:30 AM,1,11114919637,2016-03-13T02:47:30Z
1503960366,3/13/2016 2:48:30 AM,1,11114919637,2016-03-13T02:48:30Z
1503960366,3/13/2016 2:49:30 AM,2,11114919637,2016-03-13T02:49:30Z
1503960366,3/13/2016 2:50:30 AM,2,11114919637,2016-03-13T02:50:30Z
1503960366,3/13/2016 2:51:30 AM,1,11114919637,2016-03-13T02:51:30Z
1503960366,3/13/2016 2:52:30 AM,1,11114919637,2016-03-13T02:52:30Z
1503960366,3/13/2016 2:53:30 AM,1,11114919637,2016-03-13T02:53:30Z
1503960366,3/13/2016 2:54:30 AM,1,11114919637,2016-03-13T02:54:30Z
1503960366,3/13/2016 2:55:30 AM,1,11114919637,2016-03-13T02:55:30Z
1503960366,3/13/2016 2:56:30 AM,1,11114919637,2016-03-13T02:56:30Z
1503960366,3/13/2016 2:57:30 AM,1,11114919637,2016-03-13T02:57:30Z
1503960366,3/13/2016 2:58:30 AM,1,11114919637,2016-03-13T02:58:30Z
1503960366,3/13/2016 2:59:30 AM,1,11114919637,2016-03-13T02:59:30Z
1503960366,3/13/2016 3:00:30 AM,1,11114919637,2016-03-13T03:00:30Z
1503960366,3/13/2016 3:01:30 AM,1,11114919637,2016-03-13T03:01:30Z
1503960366,3/13/2016 3:02:30 AM,1,11114919637,2016-03-13T03:02:30Z
1503960366,3/13/2016 3:03:30 AM,1,11114919637,2016-03-13T03:03:30Z
1503960366,3/13/2016 3:04:30 AM,1,11114919637,2016-03-13T03:04:30Z
1503960366,3/13/2016 3:05:30 AM,1,11114919637,2016-03-13T03:05:30Z
1503960366,3/13/2016 3:06:30 AM,1,11114919637,2016-03-13T03:06:30Z
1503960366,3/13/2016 3:07:30 AM,1,11114919637,2016-03-13T03:07:30Z
