id,activity_hour,step_total
1503960366,2016-03-12T00:00:00Z,0
1503960366,2016-03-12T01:00:00Z,0
1503960366,2016-03-12T02:00:00Z,0
1503960366,2016-03-12T03:00:00Z,0
1503960366,2016-03-12T04:00:00Z,0
1503960366,2016-03-12T05:00:00Z,0
1503960366,2016-03-12T06:00:00Z,0
1503960366,2016-03-12T07:00:00Z,0
1503960366,2016-03-12T08:00:00Z,0
1503960366,2016-03-12T09:00:00Z,8
1503960366,2016-03-12T10:00:00Z,551
1503960366,2016-03-12T11:00:00Z,1764
1503960366,2016-03-12T12:00:00Z,1259
1503960366,2016-03-12T13:00:00Z,253
1503960366,2016-03-12T14:00:00Z,4470
1503960366,2016-03-12T15:00:00Z,4919
1503960366,2016-03-12T16:00:00Z,1905
1503960366,2016-03-12T17:00:00Z,1038
1503960366,2016-03-12T18:00:00Z,14
1503960366,2016-03-12T19:00:00Z,606
1503960366,2016-03-12T20:00:00Z,56
1503960366,2016-03-12T21:00:00Z,782
1503960366,2016-03-12T22:00:00Z,1132
1503960366,2016-03-12T23:00:00Z,918
1503960366,2016-03-13T00:00:00Z,39
1503960366,2016-03-13T01:00:00Z,0
1503960366,2016-03-13T02:00:00Z,27
1503960366,2016-03-13T03:00:00Z,0
1503960366,2016-03-13T04:00:00Z,0
1503960366,2016-03-13T05:00:00Z,0
1503960366,2016-03-13T06:00:00Z,0
1503960366,2016-03-13T07:00:00Z,0
1503960366,2016-03-13T08:00:00Z,6
1503960366,2016-03-13T09:00:00Z,73
1503960366,2016-03-13T10:00:00Z,2850
1503960366,2016-03-13T11:00:00Z,4854
1503960366,2016-03-13T12:00:00Z,24
1503960366,2016-03-13T13:00:00Z,118
1503960366,2016-03-13T14:00:00Z,19
1503960366,2016-03-13T15:00:00Z,510
1503960366,2016-03-13T16:00:00Z,510
1503960366,2016-03-13T17:00:00Z,96
1503960366,2016-03-13T18:00:00Z,4100
1503960366,2016-03-13T19:00:00Z,1756
1503960366,2016-03-13T20:00:00Z,477
1503960366,2016-03-13T21:00:00Z,147
1503960366,2016-03-13T22:00:00Z,214
1503960366,2016-03-13T23:00:00Z,1286
1503960366,2016-03-14T00:00:00Z,54
1503960366,2016-03-14T01:00:00Z,53
1503960366,2016-03-14T02:00:00Z,0
1503960366,2016-03-14T03:00:00Z,0
1503960366,2016-03-14T04:00:00Z,0
1503960366,2016-03-14T05:00:00Z,0
1503960366,2016-03-14T06:00:00Z,0
1503960366,2016-03-14T07:00:00Z,53
1503960366,2016-03-14T08:00:00Z,212
1503960366,2016-03-14T09:00:00Z,2832
1503960366,2016-03-14T10:00:00Z,43
1503960366,2016-03-14T11:00:00Z,220
1503960366,2016-03-14T12:00:00Z,181
1503960366,2016-03-14T13:00:00Z,12
1503960366,2016-03-14T14:00:00Z,44
1503960366,2016-03-14T15:00:00Z,205
1503960366,2016-03-14T16:00:00Z,152
1503960366,2016-03-14T17:00:00Z,226
1503960366,2016-03-14T18:00:00Z,516
1503960366,2016-03-14T19:00:00Z,559
1503960366,2016-03-14T20:00:00Z,1104
1503960366,2016-03-14T21:00:00Z,252
1503960366,2016-03-14T22:00:00Z,0
1503960366,2016-03-14T23:00:00Z,3305
1503960366,2016-03-15T00:00:00Z,33
1503960366,2016-03-15T01:00:00Z,20
1503960366,2016-03-15T02:00:00Z,60
1503960366,2016-03-15T03:00:00Z,0
1503960366,2016-03-15T04:00:00Z,7
1503960366,2016-03-15T05:00:00Z,0
1503960366,2016-03-15T06:00:00Z,4
1503960366,2016-03-15T07:00:00Z,11
1503960366,2016-03-15T08:00:00Z,470
1503960366,2016-03-15T09:00:00Z,1967
1503960366,2016-03-15T10:00:00Z,729
1503960366,2016-03-15T11:00:00Z,659
1503960366,2016-03-15T12:00:00Z,1787
1503960366,2016-03-15T13:00:00Z,333
1503960366,2016-03-15T14:00:00Z,980
1503960366,2016-03-15T15:00:00Z,371
1503960366,2016-03-15T16:00:00Z,605
1503960366,2016-03-15T17:00:00Z,623
1503960366,2016-03-15T18:00:00Z,467
1503960366,2016-03-15T19:00:00Z,282
1503960366,2016-03-15T20:00:00Z,3319
1503960366,2016-03-15T21:00:00Z,1558
1503960366,2016-03-15T22:00:00Z,786
1503960366,2016-03-15T23:00:00Z,313
1503960366,2016-03-16T00:00:00Z,0
1503960366,2016-03-16T01:00:00Z,0
1503960366,2016-03-16T02:00:00Z,4
1503960366,2016-03-16T03:00:00Z,0
1503960366,2016-03-16T04:00:00Z,0
1503960366,2016-03-16T05:00:00Z,0
1503960366,2016-03-16T06:00:00Z,0
1503960366,2016-03-16T07:00:00Z,70
1503960366,2016-03-16T08:00:00Z,490
1503960366,2016-03-16T09:00:00Z,1513
1503960366,2016-03-16T10:00:00Z,224
1503960366,2016-03-16T11:00:00Z,874
1503960366,2016-03-16T12:00:00Z,1451
1503960366,2016-03-16T13:00:00Z,329
1503960366,2016-03-16T14:00:00Z,61
1503960366,2016-03-16T15:00:00Z,456
1503960366,2016-03-16T16:00:00Z,775
1503960366,2016-03-16T17:00:00Z,1446
1503960366,2016-03-16T18:00:00Z,2407
1503960366,2016-03-16T19:00:00Z,103
1503960366,2016-03-16T20:00:00Z,447
1503960366,2016-03-16T21:00:00Z,2120
1503960366,2016-03-16T22:00:00Z,273
1503960366,2016-03-16T23:00:00Z,455
1503960366,2016-03-17T00:00:00Z,263
1503960366,2016-03-17T01:00:00Z,23
1503960366,2016-03-17T02:00:00Z,7
1503960366,2016-03-17T03:00:00Z,0
1503960366,2016-03-17T04:00:00Z,0
1503960366,2016-03-17T05:00:00Z,0
1503960366,2016-03-17T06:00:00Z,0
1503960366,2016-03-17T07:00:00Z,6
1503960366,2016-03-17T08:00:00Z,210
1503960366,2016-03-17T09:00:00Z,1530
1503960366,2016-03-17T10:00:00Z,124
1503960366,2016-03-17T11:00:00Z,1803
1503960366,2016-03-17T12:00:00Z,113
1503960366,2016-03-17T13:00:00Z,1124
1503960366,2016-03-17T14:00:00Z,1160
1503960366,2016-03-17T15:00:00Z,409
1503960366,2016-03-17T16:00:00Z,631
1503960366,2016-03-17T17:00:00Z,203
1503960366,2016-03-17T18:00:00Z,396
1503960366,2016-03-17T19:00:00Z,2165
1503960366,2016-03-17T20:00:00Z,147
1503960366,2016-03-17T21:00:00Z,2016
1503960366,2016-03-17T22:00:00Z,521
1503960366,2016-03-17T23:00:00Z,1176
1503960366,2016-03-18T00:00:00Z,389
1503960366,2016-03-18T01:00:00Z,112
1503960366,2016-03-18T02:00:00Z,0
1503960366,2016-03-18T03:00:00Z,0
1503960366,2016-03-18T04:00:00Z,0
1503960366,2016-03-18T05:00:00Z,4
1503960366,2016-03-18T06:00:00Z,19
1503960366,2016-03-18T07:00:00Z,0
1503960366,2016-03-18T08:00:00Z,172
1503960366,2016-03-18T09:00:00Z,1952
1503960366,2016-03-18T10:00:00Z,279
1503960366,2016-03-18T11:00:00Z,207
1503960366,2016-03-18T12:00:00Z,145
1503960366,2016-03-18T13:00:00Z,242
1503960366,2016-03-18T14:00:00Z,3160
1503960366,2016-03-18T15:00:00Z,852
1503960366,2016-03-18T16:00:00Z,270
1503960366,2016-03-18T17:00:00Z,24
1503960366,2016-03-18T18:00:00Z,444
1503960366,2016-03-18T19:00:00Z,4093
1503960366,2016-03-18T20:00:00Z,1445
1503960366,2016-03-18T21:00:00Z,332
1503960366,2016-03-18T22:00:00Z,13
1503960366,2016-03-18T23:00:00Z,390
1503960366,2016-03-19T00:00:00Z,138
1503960366,2016-03-19T01:00:00Z,0
1503960366,2016-03-19T02:00:00Z,0
1503960366,2016-03-19T03:00:00Z,10
1503960366,2016-03-19T04:00:00Z,0
1503960366,2016-03-19T05:00:00Z,0
1503960366,2016-03-19T06:00:00Z,0
1503960366,2016-03-19T07:00:00Z,53
1503960366,2016-03-19T08:00:00Z,538
1503960366,2016-03-19T09:00:00Z,3454
1503960366,2016-03-19T10:00:00Z,2106
1503960366,2016-03-19T11:00:00Z,1307
1503960366,2016-03-19T12:00:00Z,909
1503960366,2016-03-19T13:00:00Z,303
1503960366,2016-03-19T14:00:00Z,150
1503960366,2016-03-19T15:00:00Z,123
1503960366,2016-03-19T16:00:00Z,127
1503960366,2016-03-19T17:00:00Z,198
1503960366,2016-03-19T18:00:00Z,50
1503960366,2016-03-19T19:00:00Z,533
1503960366,2016-03-19T20:00:00Z,433
1503960366,2016-03-19T21:00:00Z,75
1503960366,2016-03-19T22:00:00Z,850
1503960366,2016-03-19T23:00:00Z,4067
1503960366,2016-03-20T00:00:00Z,115
1503960366,2016-03-20T01:00:00Z,0
1503960366,2016-03-20T02:00:00Z,0
1503960366,2016-03-20T03:00:00Z,0
1503960366,2016-03-20T04:00:00Z,0
1503960366,2016-03-20T05:00:00Z,0
1503960366,2016-03-20T06:00:00Z,0
1503960366,2016-03-20T07:00:00Z,0
1503960366,2016-03-20T08:00:00Z,0
1503960366,2016-03-20T09:00:00Z,1109
1503960366,2016-03-20T10:00:00Z,5000
1503960366,2016-03-20T11:00:00Z,1117
1503960366,2016-03-20T12:00:00Z,312
1503960366,2016-03-20T13:00:00Z,343
1503960366,2016-03-20T14:00:00Z,578
1503960366,2016-03-20T15:00:00Z,876
1503960366,2016-03-20T16:00:00Z,1373
1503960366,2016-03-20T17:00:00Z,1841
1503960366,2016-03-20T18:00:00Z,638
1503960366,2016-03-20T19:00:00Z,718
