id,activity_hour,calories
1503960366,2016-03-12T00:00:00Z,48
1503960366,2016-03-12T01:00:00Z,48
1503960366,2016-03-12T02:00:00Z,48
1503960366,2016-03-12T03:00:00Z,48
1503960366,2016-03-12T04:00:00Z,48
1503960366,2016-03-12T05:00:00Z,48
1503960366,2016-03-12T06:00:00Z,48
1503960366,2016-03-12T07:00:00Z,48
1503960366,2016-03-12T08:00:00Z,48
1503960366,2016-03-12T09:00:00Z,49
1503960366,2016-03-12T10:00:00Z,89
1503960366,2016-03-12T11:00:00Z,134
1503960366,2016-03-12T12:00:00Z,130
1503960366,2016-03-12T13:00:00Z,81
1503960366,2016-03-12T14:00:00Z,254
1503960366,2016-03-12T15:00:00Z,271
1503960366,2016-03-12T16:00:00Z,141
1503960366,2016-03-12T17:00:00Z,104
1503960366,2016-03-12T18:00:00Z,54
1503960366,2016-03-12T19:00:00Z,97
1503960366,2016-03-12T20:00:00Z,58
1503960366,2016-03-12T21:00:00Z,100
1503960366,2016-03-12T22:00:00Z,123
1503960366,2016-03-12T23:00:00Z,111
1503960366,2016-03-13T00:00:00Z,55
1503960366,2016-03-13T01:00:00Z,48
1503960366,2016-03-13T02:00:00Z,50
1503960366,2016-03-13T03:00:00Z,48
1503960366,2016-03-13T04:00:00Z,48
1503960366,2016-03-13T05:00:00Z,48
1503960366,2016-03-13T06:00:00Z,48
1503960366,2016-03-13T07:00:00Z,49
1503960366,2016-03-13T08:00:00Z,49
1503960366,2016-03-13T09:00:00Z,56
1503960366,2016-03-13T10:00:00Z,189
1503960366,2016-03-13T11:00:00Z,270
1503960366,2016-03-13T12:00:00Z,52
1503960366,2016-03-13T13:00:00Z,66
1503960366,2016-03-13T14:00:00Z,57
1503960366,2016-03-13T15:00:00Z,89
1503960366,2016-03-13T16:00:00Z,91
1503960366,2016-03-13T17:00:00Z,61
1503960366,2016-03-13T18:00:00Z,237
1503960366,2016-03-13T19:00:00Z,146
1503960366,2016-03-13T20:00:00Z,87
1503960366,2016-03-13T21:00:00Z,66
1503960366,2016-03-13T22:00:00Z,72
1503960366,2016-03-13T23:00:00Z,118
1503960366,2016-03-14T00:00:00Z,56
1503960366,2016-03-14T01:00:00Z,54
